objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,cityhall.jpg,,,Pasig City Hall,judgefloro,2021-08-05,The Pasig City Hall is located at Caruncho Avenue. Pasigueños go here to avail of the local government’s administrative services. ,landmark;city hall,"Brgy. San Nicolas, Pasig City",14.5596,121.0812,,A0001,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/InC-NC/1.0/
coll002,cathedral.png,,,Pasig Cathedral,RLF,2018-05-27,"The Immaculate Conception Cathedral, or more commonly known as the Pasig Cathedral, is one of the oldest structures in Pasig. Catholic Pasigueños may go here to express their worship.",landmark;church,"Brgy. Malinao, Pasig City",14.5605,121.077,,A0002,Image;StillImage,image/jpeg,eng,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll003,plazarizal.jpg,,,Plaza Rizal,PGAA Creative Design,2015,"Through the Plaza Rizal, Pasigueños also have a place for recreation. The open space coupled with the luscious greenery can serve as the right place to be with family and friends.",landmark;plaza;park,"Brgy. Malinao, Pasig City",14.5606,121.0763,,A0003,Image;StillImage,image/jpeg,eng,In Copyright,http://rightsstatements.org/vocab/InC/1.0/
coll004,,tBs49bRs8zA,,Pasig Mega Market,Island Times - PH,2023-03-01,A few walks from City Hall is the Pasig City Mega Market — popularly known as Pasig Palengke. The market is huge and contains a variety of food that Pasigueños can choose from.,landmark;public market,"Caruncho Ave., Pasig City",14.5764,121.0851,,A0004,,video/mp4,eng,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll005,rizalhigh.jpg,,,Rizal High School,Rizal High School DRR Activities,2022-09-21,"Dubbed as the 2nd largest high school in the Guiness Book of World Record, the school has also become an iconic landmark for this accomplishment.",landmark;school;,"Dr. Sixto Antonio Ave., Pasig City",14.568,121.0761,,A0005,Image;StillImage,image/jpeg,eng,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll006,philsports.jpg,,,PhilSports Complex,Mark Demayo,2020-02-08,"Another place for recreation is the PhilSports Complex. It was opened in 1985 and has a 10,000 person capacity.",landmark;sports;arena,"Meralco Ave., Pasig City",14.5773,121.0661,,A0006,Image;StillImage,image/jpeg,eng,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll007,revolving.jpg,,,Pasig Revolving Tower,patrickroque01,2021-04-26,The Pasig Revolving Tower is a tourist attraction that can be found in the city. The 12-storey building was once called “Mutya ng Pasig”.,landmark;building;,"Caruncho Ave., Pasig City",14.5588,121.0831,,A0007,Image;StillImage,image/jpeg,eng,Creative Commons Licence Attribution-ShareAlike 4.0,"Permission is granted to copy, distribute and/or modify this document under the terms of the GNU Free Documentation License, Version 1.2 or any later version published by the Free Software Foundation; with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts."
coll008,,Ihl1sVgIRt4,,Pasig Rainforest Park (RAVE),UNTV News and Rescue,2017-12-10,Another place that Pasigueños can go to for leisure is the Pasig Rainforest Park. It also has a mini-zoo that you can explore.,landmark;park;,"Brgy. Maybunga, Pasig City",14.5738,121.0977,,A0008,,video/mp4,eng,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll009,estancia.png,,,Estancia,Ortigas Malls,2019-12-03,"The Estancia Mall has a variety of restaurants and other services that visitors can explore. The Capitol Commons Park is also within the vicinity, perfect for jogs and picnics.",landmark;mall;,"Brgy. Oranbo, Pasig City",14.5763,121.0631,,A0009,Image;StillImage,image/jpeg,eng,Copyright Undetermined,http://rightsstatements.org/vocab/UND/1.0/
coll010,pride1.JPG,,,Pasig Pride 2023,Pasig City Public Information Office,2023-06-25,"The city also holds its own Pride event to celebrate the diversity and bravery of queer Pasigueños, and to advocate the call for safe spaces and equality. ",event; pride march; pride month,Pasig City Hall Quadrangle; Arcovia City ,14.5596,121.0812,,E0001,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll011,pride2.JPG,,,Pasig Pride 2023,Pasig City Public Information Office,2023-06-25,"The city also holds its own Pride event to celebrate the diversity and bravery of queer Pasigueños, and to advocate the call for safe spaces and equality. ",event; pride march; pride month,Pasig City Hall Quadrangle; Arcovia City ,14.5596,121.0812,,E0002,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll012,pride3.JPG,,,PasigPride 2023,Pasig City Public Information Office,2023-06-25,"The city also holds its own Pride event to celebrate the diversity and bravery of queer Pasigueños, and to advocate the call for safe spaces and equality. ",event; pride march; pride month,Pasig City Hall Quadrangle; Arcovia City ,14.5596,121.0812,,E0003,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll013,bambino1.JPG,,,Bambino Festival 2023,Pasig City Public Information Office,2023-01-15,The Bambino Festival is held annually in celebration of the Sto. Niño's simplicity and purity. ,event; Bambino; festival; Sto. Niño,Pasig Cathedral ,14.5605,121.077,,E0004,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll014,bambino2.JPG,,,Bambino Festival 2023,Pasig City Public Information Office,2023-01-15,The Bambino Festival is held annually in celebration of the Sto. Niño's simplicity and purity. ,event; Bambino; festival; Sto. Niño,Pasig Cathedral ,14.5605,121.077,,E0005,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll015,bambino3.JPG,,,Bambino Festival 2023,Pasig City Public Information Office,2023-01-15,The Bambino Festival is held annually in celebration of the Sto. Niño's simplicity and purity. ,event; Bambino; festival; Sto. Niño,Pasig Cathedral ,14.5605,121.077,,E0006,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll016,bianca1.jpg.jpg,,,PasigLaban,Bianca,2022-03-20,"My most memorable memory is attending the Leni-Kiko PaslgLaban rally back in March 2022. It was my first time attending a presidential rally so I was nervous and didn’t know what to expect. Granted, the sortie itself was technically held in the Ortigas area, but it was intended for Pasig residents and its neighboring locations. The friends who accompanied me were also from Pasig and its also my first event as a Pasig resident, too. It turned out that I was nervous for nothing anyway. The Leni-Kiko rally was overflowing with camaraderie, bayanihan, and goodwill. Everybody was looking out for each other and spoke to each other with such kindness that you just felt so inspired by the example that former vice president Robredo has imbibed to us. It was not only raining pink that day, but also the call for good and honest governance. The elections might not have turned out the way we wanted, but the impact of the people’s campaign will always stay with us. I, for one, will carry that memory forever—proud to be one of the 15 million who stood for genuine leaders.",memory; rally; PasigLaban,"Emerald Avenue, Ortigas, Pasig",14.5739,121.095,,M0001,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll017,bianca2.jpg.jpg,,,PasigLaban,Bianca,2022-03-21,"My most memorable memory is attending the Leni-Kiko PaslgLaban rally back in March 2022. It was my first time attending a presidential rally so I was nervous and didn’t know what to expect. Granted, the sortie itself was technically held in the Ortigas area, but it was intended for Pasig residents and its neighboring locations. The friends who accompanied me were also from Pasig and its also my first event as a Pasig resident, too. It turned out that I was nervous for nothing anyway. The Leni-Kiko rally was overflowing with camaraderie, bayanihan, and goodwill. Everybody was looking out for each other and spoke to each other with such kindness that you just felt so inspired by the example that former vice president Robredo has imbibed to us. It was not only raining pink that day, but also the call for good and honest governance. The elections might not have turned out the way we wanted, but the impact of the people’s campaign will always stay with us. I, for one, will carry that memory forever—proud to be one of the 15 million who stood for genuine leaders.",memory; rally; PasigLaban,"Emerald Avenue, Ortigas, Pasig",14.5739,121.095,,M0002,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll018,bianca3.jpg.jpg,,,PasigLaban,Bianca,2022-03-22,"My most memorable memory is attending the Leni-Kiko PaslgLaban rally back in March 2022. It was my first time attending a presidential rally so I was nervous and didn’t know what to expect. Granted, the sortie itself was technically held in the Ortigas area, but it was intended for Pasig residents and its neighboring locations. The friends who accompanied me were also from Pasig and its also my first event as a Pasig resident, too. It turned out that I was nervous for nothing anyway. The Leni-Kiko rally was overflowing with camaraderie, bayanihan, and goodwill. Everybody was looking out for each other and spoke to each other with such kindness that you just felt so inspired by the example that former vice president Robredo has imbibed to us. It was not only raining pink that day, but also the call for good and honest governance. The elections might not have turned out the way we wanted, but the impact of the people’s campaign will always stay with us. I, for one, will carry that memory forever—proud to be one of the 15 million who stood for genuine leaders.",memory; rally; PasigLaban,"Emerald Avenue, Ortigas, Pasig",14.5739,121.095,,M0003,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll019,newyear.jpg.JPG,,,"New Year, New Home",Nikki,2020-01-01,First New Year celebration at our new home. ,"memory; family, new year; home","Brgy. Bambang, Pasig City",14.5569,121.0781,,M0004,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll020,valleverde.JPG,,,Birthday Bash at Valle Verde Country Club,Nikki,2023-05-27,Nikki's cousins playing with bubbles at a birthday party in Valle Verde Country Club. ,memory; birthday; party,"Brgy. Oranbo, Pasig City",14.5962,121.0555,,M0005,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll021,mothers.jpg,,,Mother's Day ,Nikki,2023-05-13,Exceptional mothers of Bambang are recognized at the San Felipe Santiago Bambang Chapel during Mothers' Day. Nikki's grandmother is the one in black and white. ,memory; Mothers' Day; mothers; awards,"Brgy. Bambang, Pasig City",14.5544,121.0769,,M0006,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll022,alaine1.jpeg,,,Back to School at SJKHS,Alaine,2022,San Joaquin-Kalawaan High School students are excited to be back in school for face-to-face classes after the lockdowns. ,memory; school; students; classes,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0007,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll023,alaine2.jpeg,,,SJKHS Exhibit,Alaine,2022,San-Joaquin-Kalawaan High School students at an exhibit for Philippine traditional clothing held by the MAPEH Department. ,memory; school; students; exhibit,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0008,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll024,alaine3.jpeg,,,SJKHS Christmas Party 2022,Alaine,2022-12-14,San Joaquin-Kalawaan High School students celebrate their Christmas Party.,memory; school; Christmas Party,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0009,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll025,alaine4.jpg,,,SJKHS Student Achievers,Alaine,2022,San Joaquin-Kalawaan High School student achievers with their awards for the semester.,memory; school; students; awards,"Brgy. San Joaquin, Pasig City",14.5509,121.0763,,M0010,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll026,alaine5.jpg,,,Fun Night at Arcovia,Alaine,2023,"Alaine and her friends enjoying their night out at Arcovia City, with the ""Arco de Emperador"" monument in the background. ",memory; friends; arcovia; night out,"Brgy. Ugong, Pasig City",14.5771,121.0761,,M0011,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll027,alaine6.jpeg,,,Pasig's Gigantic Christmas Tree,Alaine,2022,Posing at the giant Christmas tree display at the Pasig City Hall Quadrangle,memory; Christmas; Christmas tree,"Brgy. San Nicolas, Pasig City",14.5596,121.0812,,M0012,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll028,alaine7.jpeg,,,Foodtrip in Puregold,Alaine,2023,Alaine and her friends food tripping in Puregold Pasig,memory; friends; food trip,"Brgy. San Joaquin, Pasig City",14.5534,121.0712,,M0013,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll029,jacqui1.JPG,,,PCC Grade 6 Commencement Exercises 2023,Jacqui,2023-06-29,"Maddi, a student at Pasig Catholic College, receives her diploma on stage during their Commencement Exercises. ",memory; school; graduation ,"Brgy. Malinao, Pasig City",14.56,121.0767,,M0014,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll030,althea1.JPG,,,SPCP Fair 2020,Althea,2020,Althea and her friends at the St. Paul College Pasig Fair. ,memory; school; friends; fair,"Brgy. Ugong, Pasig City",14.5811,121.0672,,M0015,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll031,althea2.JPG,,,SPCP Concert 2020,Althea,2020,St. Paul College Pasig students rocking at at the SPCP Concert last 2020.  ,memory; school; students; concert,"Brgy. Ugong, Pasig City",14.5811,121.0672,,M0016,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll032,althea3.JPG,,,Bambino Festival Celebration,Althea,2023-01-15,Althea at the Grand Bambino Festival 2023. ,memory; festival; Bambino; Sto. Niño,"Brgy. San Nicolas, Pasig City",14.5605,121.077,,M0017,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll033,ericka.jpg.JPG,,,Halloween Party 2022,Ericka,2022-10-30,Cousins celebrating halloween at home by dressing up in their most creative costumes. ,memory; halloween; celebration,"Brgy. Bambang, Pasig City",14.5569,121.0781,,M0018,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll034,raph1.JPG,,,Late Night Coffee,Raphaela,2023-01-29,Cousins enjoying their coffee at night at the Ferramenta Cafe in Palatiw. ,memory; coffee; cafe,"Brgy. Palatiw, Pasig City",14.5648,121.0807,,M0019,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll035,raph2.JPG,,,UAAP Volleyball Match,Raphaela,2023-04-16,Watching the UAAP Volleyball UP vs. La Salle match and cheering for opposing sides. ,memory; UAAP; volleyball,"Meralco Ave., Pasig City",14.5773,121.0661,,M0020,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
coll036,raph3.JPG,,,Fun at Peryahan,Raphaela,2022-12-29,Cousins riding the caterpillar ride at a mini carnival in Pasig which opens every Christmas season.,memory; carnival,"Brgy. Malinao, Pasig City",14.5596,121.0802,,M0021,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-NC/1.0/
